rpp_hse_med_sal_prc_aud, rpp_att_dwell_num_trans, rpp_att_dwell_med_sal_prc_aud, rpp_hse_num_trans, sa4_name, year, sa4_code
362000,892,267500,3080,"Capital Region","2013","101"
387000,1594,302750,5494,"Central Coast","2013","102"
295000,257,229000,3129,"Central West","2013","103"
353500,437,275000,1766,"Coffs Harbour - Grafton","2013","104"
200000,75,208000,1719,"Far West and Orana","2013","105"
365000,730,285000,4071,"Hunter Valley exc Newcastle","2013","106"
450000,1597,352500,3317,"Illawarra","2013","107"
338000,906,255000,2991,"Mid North Coast","2013","108"
238000,326,180000,1590,"Murray","2013","109"
262000,167,226000,2511,"New England and North West","2013","110"
410000,1528,345000,5205,"Newcastle and Lake Macquarie","2013","111"
430000,1294,325000,2559,"Richmond - Tweed","2013","112"
255000,213,220000,1984,"Riverina","2013","113"
385000,281,305000,2638,"Southern Highlands and Shoalhaven","2013","114"
750000,602,555000,2857,"Sydney - Baulkham Hills and Hawkesbury","2013","115"
435000,1231,338000,4105,"Sydney - Blacktown","2013","116"
860000,6255,605000,1593,"Sydney - City and Inner South","2013","117"
1550000,3475,662000,1890,"Sydney - Eastern Suburbs","2013","118"
685000,4952,450000,4456,"Sydney - Inner South West","2013","119"
1005500,3908,566500,2230,"Sydney - Inner West","2013","120"
1210000,5057,635000,3781,"Sydney - North Sydney and Hornsby","2013","121"
1008750,2567,572500,2378,"Sydney - Northern Beaches","2013","122"
400000,664,285000,3406,"Sydney - Outer South West","2013","123"
406000,1164,304500,4361,"Sydney - Outer West and Blue Mountains","2013","124"
585000,4399,415000,3559,"Sydney - Parramatta","2013","125"
950000,1852,565000,1537,"Sydney - Ryde","2013","126"
480150,1289,300000,3673,"Sydney - South West","2013","127"
771000,2020,491500,2010,"Sydney - Sutherland","2013","128"
280500,355,230000,3087,"Ballarat","2013","201"
317000,281,237000,2777,"Bendigo","2013","202"
389000,973,305000,4805,"Geelong","2013","203"
269000,278,195000,2708,"Hume","2013","204"
277000,529,229000,5294,"Latrobe - Gippsland","2013","205"
771500,10057,495000,5108,"Melbourne - Inner","2013","206"
898000,2457,530000,4176,"Melbourne - Inner East","2013","207"
810000,3618,500000,4381,"Melbourne - Inner South","2013","208"
470000,1666,385000,5543,"Melbourne - North East","2013","209"
410000,906,364750,4495,"Melbourne - North West","2013","210"
480000,2087,380000,6819,"Melbourne - Outer East","2013","211"
420000,2373,357500,9109,"Melbourne - South East","2013","212"
390000,2127,340000,9158,"Melbourne - West","2013","213"
442500,1447,327000,6155,"Mornington Peninsula","2013","214"
185000,241,167000,2614,"North West","2013","215"
250000,199,202000,1656,"Shepparton","2013","216"
265000,178,239000,1683,"Warrnambool and South West","2013","217"
470000,590,351500,3757,"Brisbane - East","2013","301"
455000,1311,370000,2990,"Brisbane - North","2013","302"
515000,1818,380900,4558,"Brisbane - South","2013","303"
550000,648,417250,2396,"Brisbane - West","2013","304"
707000,5165,453000,2757,"Brisbane Inner City","2013","305"
345000,1322,193000,3327,"Cairns","2013","306"
270000,79,289000,1654,"Darling Downs - Maranoa","2013","307"
375000,526,373500,3683,"Fitzroy","2013","308"
480000,6043,340000,7017,"Gold Coast","2013","309"
316500,435,320000,4279,"Ipswich","2013","310"
350000,699,265000,3933,"Logan - Beaudesert","2013","311"
425000,591,350000,2429,"Mackay","2013","312"
350000,722,312950,3399,"Moreton Bay - North","2013","313"
425000,408,330000,3028,"Moreton Bay - South","2013","314"
320000,78,349500,898,"Queensland - Outback","2013","315"
451250,2673,350000,5610,"Sunshine Coast","2013","316"
328000,463,269000,2982,"Toowoomba","2013","317"
352000,698,309500,3319,"Townsville","2013","318"
285000,388,255000,4756,"Wide Bay","2013","319"
542000,1854,375000,3159,"Adelaide - Central and Hills","2013","401"
325000,947,234950,5304,"Adelaide - North","2013","402"
390000,1482,325000,4924,"Adelaide - South","2013","403"
431375,1405,320000,2448,"Adelaide - West","2013","404"
245000,95,165000,1424,"Barossa - Yorke - Mid North","2013","405"
265000,239,169000,801,"South Australia - Outback","2013","406"
245000,255,169000,2494,"South Australia - South East","2013","407"
390000,418,318000,2514,"Bunbury","2013","501"
400000,423,325000,1789,"Mandurah","2013","502"
1152350,2104,503250,1637,"Perth - Inner","2013","503"
488000,780,360000,3704,"Perth - North East","2013","504"
535000,2145,400000,8398,"Perth - North West","2013","505"
490000,2046,415000,6773,"Perth - South East","2013","506"
490000,1620,430000,6134,"Perth - South West","2013","507"
400000,421,320000,2051,"Western Australia - Outback","2013","508"
311000,96,272500,1491,"Western Australia - Wheat Belt","2013","509"
335000,1009,280000,2958,"Hobart","2013","601"
260000,436,225250,2091,"Launceston and North East","2013","602"
250000,43,205000,640,"South East","2013","603"
235000,269,225000,1723,"West and North West","2013","604"
570000,1374,429750,1564,"Darwin","2013","701"
400000,225,315000,582,"Northern Territory - Outback","2013","702"
510000,3363,410000,4742,"Australian Capital Territory","2013","801"
null,null,null,null,"Other Territories","2013","901"
